Skill,January,February,March,April,May,June,July,August,September,Volatility
analysis,44,37,37,41,47,42,46,46,51,4.40
scripting,35,40,42,36,36,33,38,35,34,2.75
sql,33,37,32,32,33,37,29,23,22,5.07
databases,28,31,32,27,30,30,30,27,27,1.79
strategy,25,26,21,25,23,25,22,24,23,1.55
project management,25,23,26,23,22,23,20,17,17,3.01
restful,23,26,21,25,25,23,27,28,32,3.06
programming,23,23,21,25,27,25,28,27,28,2.35
architecture,23,17,11,18,19,22,17,15,15,3.47
consulting,21,17,16,20,19,20,17,20,24,2.31
computer science,21,20,21,20,22,22,23,22,21,0.94
automate,21,26,32,27,19,20,19,16,17,5.00
emails,19,20,26,20,25,20,22,18,15,3.20
statistics,19,17,26,20,18,18,17,15,15,3.13
math,19,11,16,14,16,18,13,12,11,2.79
modelling,18,14,16,16,18,17,20,20,24,2.77
security,18,14,11,16,21,17,24,22,21,3.94
optimization,18,14,21,14,16,17,22,21,20,2.88
word,18,26,32,20,18,17,16,15,15,5.40
pressure,18,26,21,20,16,17,15,13,12,4.09
redis,18,17,26,14,15,17,14,14,11,3.99
marketing,16,17,26,14,15,15,25,24,29,5.47
finance,16,14,16,16,19,15,20,23,27,4.03
concept,16,9,5,14,15,15,17,13,16,3.68
deployment,16,9,5,11,15,17,11,10,13,3.57
economics,16,17,26,18,12,15,10,9,9,5.16
risk,14,9,11,11,14,13,20,19,17,3.55
sales,14,14,16,14,15,13,15,14,14,0.82
growth,14,14,21,14,12,13,12,13,13,2.58
scala,14,14,16,16,14,13,16,12,12,1.52
digital,14,11,5,9,12,13,12,9,11,2.54
agile,14,20,16,16,12,13,11,9,10,3.27
mathematics,14,11,16,11,12,13,9,9,8,2.45
suppliers,14,17,32,16,11,13,8,7,6,7.42
research,12,14,21,11,14,13,17,22,23,4.32
senior,12,14,11,11,18,15,15,15,21,3.09
recruitment,12,0,0,9,10,12,12,14,20,6.05
creative,12,11,16,14,12,12,12,13,14,1.45
components,12,6,0,9,14,12,16,13,11,4.55
transformer,12,11,16,14,10,12,9,8,10,2.36
visualization,12,14,11,16,12,12,8,7,10,2.62
mentor,12,17,21,16,10,12,6,6,8,4.88
business intelligence,12,14,11,14,11,13,8,7,6,2.83
software engineering,12,17,16,14,11,13,7,4,4,4.58
relationship,11,6,11,11,10,10,17,15,16,3.28
data analysis,11,0,0,9,14,10,9,10,12,4.69
mining,11,14,16,14,14,10,14,12,12,1.76
credit,11,11,16,9,8,10,9,8,7,2.51
powerpoint,11,14,21,11,10,10,9,8,7,3.94
uml,11,11,11,11,11,12,7,6,3,2.94
